================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۳_۱۸۰۰۳۴.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 5687
================================================================================

[00:41:36.742 --> 00:41:40.927] doctor
[00:41:41.973 --> 00:41:45.584] doctor
[00:41:46.073 --> 00:41:49.685] doctor
[00:41:51.119 --> 00:41:52.840] doctor
[00:41:53.785 --> 00:41:55.591] doctor
[00:41:58.274 --> 00:41:58.730] doctor
[00:42:01.413 --> 00:42:02.645] doctor
[00:42:03.573 --> 00:42:11.082] doctor
[00:42:03.623 --> 00:42:05.159] patient_1
[00:42:11.858 --> 00:42:12.618] doctor
[00:42:13.107 --> 00:42:20.667] doctor
[00:42:13.208 --> 00:42:13.681] patient_1
[00:42:16.027 --> 00:42:16.448] patient_1
[00:42:16.853 --> 00:42:17.748] patient_1
[00:42:20.819 --> 00:42:34.589] doctor
[00:42:26.692 --> 00:42:27.586] patient_1
[00:42:35.855 --> 00:42:47.296] doctor
[00:42:44.984 --> 00:42:45.794] patient_1
[00:42:48.241 --> 00:42:50.030] doctor
[00:42:53.573 --> 00:42:55.025] doctor
[00:42:56.510 --> 00:42:57.151] doctor
[00:42:58.028 --> 00:43:01.117] doctor
[00:43:01.420 --> 00:43:05.538] doctor
[00:43:11.427 --> 00:43:12.136] doctor
[00:43:12.440 --> 00:43:19.139] doctor
[00:43:20.455 --> 00:43:21.367] doctor
[00:43:22.852 --> 00:43:24.185] doctor
[00:43:31.188 --> 00:43:32.065] doctor
[00:43:33.078 --> 00:43:34.529] doctor
[00:43:35.727 --> 00:43:37.583] doctor
[00:43:40.435 --> 00:43:45.025] doctor
[00:43:45.447 --> 00:43:50.493] doctor
[00:44:03.487 --> 00:44:05.647] doctor
[00:44:39.633 --> 00:44:40.443] doctor
[00:44:40.493 --> 00:44:41.067] doctor
[00:44:52.120 --> 00:44:52.711] doctor
[00:44:59.292 --> 00:44:59.967] doctor
[00:45:13.514 --> 00:45:14.408] doctor
[00:45:32.127 --> 00:45:32.684] doctor
[00:45:34.405 --> 00:45:35.705] doctor
[00:45:37.207 --> 00:45:37.578] doctor
[00:45:39.451 --> 00:45:41.122] doctor
[00:45:43.957 --> 00:45:48.243] doctor
[00:45:46.454 --> 00:45:47.045] patient_1
[00:45:50.707 --> 00:45:51.432] doctor
[00:45:53.879 --> 00:46:08.493] doctor
[00:46:10.045 --> 00:46:12.256] doctor
[00:46:12.762 --> 00:46:19.175] doctor
[00:46:20.120 --> 00:46:21.233] doctor
[00:46:21.689 --> 00:46:22.837] doctor
[00:46:24.473 --> 00:46:29.030] doctor
[00:46:29.114 --> 00:46:34.109] doctor
[00:46:35.155 --> 00:46:44.335] doctor
[00:46:36.067 --> 00:46:36.691] patient_1
[00:46:45.483 --> 00:46:49.600] doctor
[00:46:54.207 --> 00:46:54.747] doctor
[00:47:01.244 --> 00:47:05.648] doctor
[00:47:07.083 --> 00:47:07.707] doctor
[00:47:08.197 --> 00:47:10.795] doctor
[00:47:08.399 --> 00:47:08.956] patient_1
[00:47:14.103 --> 00:47:17.663] doctor
[00:47:20.600 --> 00:47:26.995] doctor
[00:47:28.227 --> 00:47:30.252] doctor
[00:47:33.678 --> 00:47:41.508] doctor
[00:47:37.812 --> 00:47:38.403] patient_1
[00:47:43.837 --> 00:47:50.063] doctor
[00:47:50.317 --> 00:47:50.705] doctor
[00:47:51.194 --> 00:47:55.717] doctor
[00:47:52.021 --> 00:47:54.232] patient_1
[00:47:57.235 --> 00:48:00.661] doctor
[00:48:01.319 --> 00:48:03.091] doctor
[00:48:01.370 --> 00:48:01.977] patient_1
[00:48:03.226 --> 00:48:09.385] doctor
[00:48:03.378 --> 00:48:04.154] patient_1
[00:48:05.622 --> 00:48:09.031] patient_1
[00:48:11.039 --> 00:48:13.030] doctor
[00:48:16.658 --> 00:48:18.025] doctor
[00:48:31.677 --> 00:48:35.272] doctor
[00:48:38.393 --> 00:48:38.883] doctor
[00:48:38.950 --> 00:48:55.994] doctor
[00:48:52.568 --> 00:48:53.952] patient_1
[00:48:57.243 --> 00:48:58.036] doctor
[00:49:29.913 --> 00:49:31.094] doctor
[00:49:44.729 --> 00:49:49.032] doctor
[00:49:50.197 --> 00:49:54.652] doctor
[00:49:55.040 --> 00:49:59.967] doctor
[00:50:00.166 --> 00:50:01.364] doctor
[00:50:06.106 --> 00:50:06.916] doctor
[00:50:07.270 --> 00:50:12.822] patient_1
[00:50:10.510 --> 00:50:12.046] doctor
[00:50:13.244 --> 00:50:13.717] doctor
[00:50:13.987 --> 00:50:16.687] patient_1
[00:50:14.678 --> 00:50:15.067] doctor
[00:50:17.176 --> 00:50:22.458] doctor
[00:50:17.446 --> 00:50:19.842] patient_1
[00:50:22.643 --> 00:50:24.550] patient_1
[00:50:23.977 --> 00:50:31.638] patient_2
[00:50:31.638 --> 00:50:33.663] doctor
[00:50:34.473 --> 00:50:36.818] patient_2
[00:50:37.072 --> 00:50:39.637] doctor
[00:50:40.717 --> 00:50:41.645] doctor
[00:50:41.881 --> 00:50:44.345] doctor
[00:50:45.273 --> 00:50:51.601] doctor
[00:50:45.847 --> 00:50:47.180] patient_3
[00:50:53.002 --> 00:50:53.896] doctor
[00:50:54.318 --> 00:50:57.423] patient_1
[00:50:58.790 --> 00:51:01.574] doctor
[00:51:00.140 --> 00:51:10.687] patient_1
[00:51:11.243 --> 00:51:17.825] doctor
[00:51:17.791 --> 00:51:19.225] patient_1
[00:51:19.512 --> 00:51:20.575] doctor
[00:51:23.798 --> 00:51:25.705] doctor
[00:51:25.975 --> 00:51:29.468] doctor
[00:51:29.992 --> 00:51:30.650] patient_3
[00:51:30.650 --> 00:51:32.185] doctor
[00:51:34.801 --> 00:51:37.062] doctor
[00:51:37.973 --> 00:51:42.057] doctor
[00:51:40.420 --> 00:51:44.318] patient_3
[00:51:44.318 --> 00:51:55.912] patient_2
[00:51:45.398 --> 00:51:45.820] doctor
[00:51:49.145 --> 00:51:49.769] patient_3
[00:51:56.114 --> 00:52:03.067] patient_2
[00:52:00.383 --> 00:52:03.083] doctor
[00:52:03.455 --> 00:52:09.125] patient_2
[00:52:08.264 --> 00:52:11.403] doctor
[00:52:11.757 --> 00:52:21.275] patient_2
[00:52:22.203 --> 00:52:27.097] patient_2
[00:52:22.287 --> 00:52:25.004] patient_3
[00:52:27.637 --> 00:52:31.248] patient_2
[00:52:30.370 --> 00:52:47.077] patient_3
[00:52:47.026 --> 00:52:50.131] doctor
[00:52:50.924 --> 00:52:51.970] patient_2
[00:52:53.489 --> 00:52:56.290] patient_2
[00:52:55.042 --> 00:52:57.522] doctor
[00:52:57.961 --> 00:53:02.281] doctor
[00:53:02.281 --> 00:53:07.495] patient_2
[00:53:06.905 --> 00:53:13.064] patient_1
[00:53:09.082 --> 00:53:09.487] doctor
[00:53:11.950 --> 00:53:19.173] doctor
[00:53:19.544 --> 00:53:24.843] doctor
[00:53:25.906 --> 00:53:26.547] patient_1
[00:53:26.041 --> 00:53:27.644] doctor
[00:53:29.787 --> 00:53:32.251] doctor
[00:53:32.470 --> 00:53:35.035] doctor
[00:53:46.763 --> 00:53:49.953] patient_3
[00:53:58.846 --> 00:54:00.719] patient_3
[00:54:01.040 --> 00:54:02.153] doctor
[00:54:02.373 --> 00:54:03.031] patient_3
[00:54:03.031 --> 00:54:05.174] doctor
[00:54:06.524 --> 00:54:07.722] patient_3
[00:54:08.448 --> 00:54:09.393] doctor
[00:54:11.418 --> 00:54:11.772] doctor
[00:54:12.515 --> 00:54:13.831] patient_2
[00:54:15.012 --> 00:54:15.603] patient_2
[00:54:16.075 --> 00:54:18.033] patient_2
[00:54:18.033 --> 00:54:18.657] patient_3
[00:54:20.952 --> 00:54:22.876] patient_3
[00:54:22.960 --> 00:54:24.817] doctor
[00:54:24.817 --> 00:54:25.998] patient_3
