================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۴_۱۸۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 5386
================================================================================

[00:43:50.948 --> 00:44:00.955] patient_2
[00:44:01.259 --> 00:44:02.120] patient_1
[00:44:02.575 --> 00:44:02.947] patient_1
[00:46:16.036 --> 00:46:21.031] doctor
[00:46:22.482 --> 00:46:23.039] doctor
[00:46:28.186 --> 00:46:30.025] doctor
[00:46:30.683 --> 00:46:32.033] doctor
[00:46:54.967 --> 00:46:56.772] doctor
[00:46:56.907 --> 00:47:04.383] doctor
[00:47:01.767 --> 00:47:02.257] patient_1
[00:47:04.973 --> 00:47:25.038] doctor
[00:47:06.003 --> 00:47:07.100] patient_1
[00:47:18.170 --> 00:47:18.710] patient_1
[00:47:20.279 --> 00:47:21.258] patient_1
[00:47:25.223 --> 00:47:37.120] doctor
[00:47:27.248 --> 00:47:31.940] patient_1
[00:47:33.610 --> 00:47:35.483] patient_1
[00:47:40.462 --> 00:48:14.448] doctor
[00:47:40.968 --> 00:47:41.356] patient_1
[00:47:44.512 --> 00:47:44.984] patient_1
[00:47:45.085 --> 00:47:45.473] patient_1
[00:47:52.358 --> 00:47:52.780] patient_1
[00:47:53.033 --> 00:47:53.641] patient_1
[00:47:55.497 --> 00:47:56.442] patient_1
[00:47:57.134 --> 00:48:02.298] patient_1
[00:48:02.787 --> 00:48:03.817] patient_1
[00:48:04.036 --> 00:48:05.285] patient_1
[00:48:06.989 --> 00:48:07.546] patient_1
[00:48:08.255 --> 00:48:09.284] patient_1
[00:48:10.803 --> 00:48:14.347] patient_1
[00:48:16.253 --> 00:48:26.767] doctor
[00:48:27.340 --> 00:48:31.154] doctor
[00:48:31.981 --> 00:48:32.352] doctor
[00:48:32.555 --> 00:48:39.305] doctor
[00:48:33.635 --> 00:48:34.782] patient_1
[00:48:35.035 --> 00:48:36.571] patient_1
[00:48:37.330 --> 00:48:37.955] patient_1
[00:48:40.672 --> 00:48:50.847] doctor
[00:48:43.810 --> 00:48:46.038] patient_1
[00:48:46.122 --> 00:48:46.882] patient_1
[00:48:50.172 --> 00:48:50.560] patient_1
[00:48:51.944 --> 00:48:56.129] doctor
[00:48:56.720 --> 00:49:00.905] doctor
[00:49:05.427 --> 00:49:05.782] doctor
[00:49:06.001 --> 00:49:10.456] doctor
[00:49:12.447 --> 00:49:36.815] doctor
[00:49:13.105 --> 00:49:23.028] patient_1
[00:49:25.745 --> 00:49:32.005] patient_1
[00:49:37.321 --> 00:49:43.885] doctor
[00:49:37.422 --> 00:49:39.751] patient_1
[00:49:45.083 --> 00:49:59.174] doctor
[00:49:53.690 --> 00:49:55.445] patient_1
[00:49:59.410 --> 00:49:59.967] doctor
[00:50:00.031 --> 00:50:10.173] patient_2
[00:50:12.282 --> 00:50:17.345] patient_2
[00:50:12.586 --> 00:50:13.683] patient_1
[00:50:17.530 --> 00:50:23.757] patient_2
[00:50:24.905 --> 00:50:31.621] patient_2
[00:50:32.060 --> 00:50:41.932] patient_2
[00:50:36.987 --> 00:50:37.544] patient_1
[00:50:42.995 --> 00:51:07.042] patient_2
[00:51:07.345 --> 00:51:20.963] patient_2
[00:51:11.918 --> 00:51:12.796] doctor
[00:51:18.871 --> 00:51:26.178] patient_1
[00:51:20.963 --> 00:51:21.368] doctor
[00:51:21.368 --> 00:51:24.963] patient_2
[00:51:25.030 --> 00:51:25.570] patient_2
[00:51:26.313 --> 00:51:32.354] patient_1
[00:51:27.528 --> 00:51:28.591] patient_2
[00:51:28.642 --> 00:51:29.013] patient_2
[00:51:33.147 --> 00:51:36.033] patient_1
[00:51:36.556 --> 00:51:49.583] doctor
[00:51:49.651 --> 00:52:01.683] doctor
[00:52:00.721 --> 00:52:02.240] patient_1
[00:52:02.594 --> 00:52:03.944] doctor
[00:52:02.611 --> 00:52:03.623] patient_1
[00:52:05.345 --> 00:52:08.230] doctor
[00:52:05.362 --> 00:52:07.184] patient_1
[00:52:11.825 --> 00:52:13.360] patient_2
[00:52:14.086 --> 00:52:14.963] patient_2
[00:52:17.562 --> 00:52:23.283] patient_2
[00:52:24.683 --> 00:52:35.804] patient_1
[00:52:25.763 --> 00:52:26.793] patient_2
[00:52:30.100 --> 00:52:30.607] patient_2
[00:52:36.698 --> 00:52:39.348] patient_2
[00:52:39.348 --> 00:52:41.542] patient_1
[00:52:45.338 --> 00:52:49.608] patient_1
[00:52:49.895 --> 00:52:51.802] patient_1
[00:52:57.235 --> 00:52:58.467] patient_1
[00:52:58.957 --> 00:53:01.032] patient_2
[00:53:04.964 --> 00:53:09.723] patient_1
[00:53:05.960 --> 00:53:06.837] patient_2
