================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۱_۱۸۰۰۱۸.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 2822
================================================================================

[01:08:13.553 --> 01:08:14.009] patient_1
[01:08:30.901 --> 01:08:36.098] doctor
[01:08:37.769 --> 01:08:59.555] doctor
[01:09:00.635 --> 01:09:14.523] doctor
[01:09:17.712 --> 01:09:40.848] doctor
[01:09:46.433 --> 01:09:48.273] doctor
[01:09:52.998 --> 01:09:53.977] doctor
[01:10:00.031 --> 01:10:01.027] patient_1
[01:10:04.385 --> 01:10:11.557] patient_1
[01:10:17.210 --> 01:10:22.643] doctor
[01:10:21.597 --> 01:10:22.373] patient_1
[01:10:23.504 --> 01:10:24.888] doctor
[01:10:41.662 --> 01:10:42.893] doctor
[01:10:41.881 --> 01:10:43.433] patient_1
[01:10:45.678 --> 01:10:46.707] doctor
[01:10:46.707 --> 01:10:48.766] patient_1
[01:10:49.593 --> 01:10:50.369] doctor
[01:10:55.904 --> 01:11:01.642] patient_1
[01:11:14.669 --> 01:11:15.327] patient_1
[01:11:15.344 --> 01:11:34.666] patient_1
[01:11:17.386 --> 01:11:18.803] doctor
[01:11:19.327 --> 01:11:19.816] doctor
[01:11:27.224 --> 01:11:27.950] doctor
[01:11:34.784 --> 01:12:07.302] patient_1
[01:12:08.568 --> 01:12:15.723] patient_1
[01:12:15.723 --> 01:12:16.415] doctor
[01:12:16.921 --> 01:12:19.553] patient_1
[01:12:19.773 --> 01:12:22.810] patient_1
[01:12:22.962 --> 01:12:37.103] patient_1
[01:12:38.909 --> 01:12:39.382] doctor
[01:12:51.076 --> 01:12:51.633] doctor
[01:12:55.970 --> 01:12:57.134] patient_1
[01:12:58.079 --> 01:14:26.977] patient_1
[01:14:18.843 --> 01:14:19.484] doctor
[01:14:25.323 --> 01:14:26.690] doctor
[01:14:26.977 --> 01:14:35.077] doctor
[01:14:27.550 --> 01:14:28.462] patient_1
[01:14:35.802 --> 01:14:42.890] doctor
[01:14:42.957 --> 01:14:49.724] doctor
[01:14:50.078 --> 01:14:52.694] patient_1
[01:14:52.120 --> 01:14:52.728] doctor
[01:14:52.728 --> 01:14:54.128] patient_1
[01:15:46.707 --> 01:15:48.985] doctor
[01:20:32.819 --> 01:20:44.024] patient_1
[01:20:44.767 --> 01:20:46.420] patient_3
[01:20:49.863 --> 01:20:55.398] patient_3
[01:20:54.672 --> 01:21:04.949] patient_1
[01:21:03.127 --> 01:21:03.616] doctor
[01:21:05.320 --> 01:21:12.610] patient_1
[01:21:12.745 --> 01:21:14.467] patient_1
[01:21:20.862 --> 01:21:22.904] patient_3
[01:21:23.967 --> 01:21:28.034] patient_3
[01:21:28.034 --> 01:21:35.375] doctor
[01:21:35.678 --> 01:21:41.585] patient_3
[01:21:36.961 --> 01:21:38.463] doctor
[01:21:39.205 --> 01:21:45.601] doctor
[01:21:43.795 --> 01:21:57.532] patient_3
[01:21:47.693 --> 01:21:49.027] doctor
[01:21:50.647 --> 01:22:03.320] doctor
[01:21:58.223 --> 01:21:59.624] patient_3
[01:22:01.463 --> 01:22:02.105] patient_3
[01:22:03.607 --> 01:22:16.178] doctor
[01:22:13.867 --> 01:22:14.407] patient_3
[01:22:16.482 --> 01:22:19.604] patient_3
[01:22:20.144 --> 01:22:21.933] patient_3
[01:22:21.983 --> 01:22:23.873] patient_3
[01:22:24.380 --> 01:22:29.510] patient_3
[01:22:27.367 --> 01:22:29.020] patient_1
[01:22:29.662 --> 01:22:31.872] patient_1
[01:22:38.032 --> 01:22:47.971] doctor
[01:22:47.971 --> 01:22:52.358] patient_2
[01:22:52.831 --> 01:22:54.029] patient_2
[01:23:03.378 --> 01:23:15.967] patient_3
[01:23:15.967 --> 01:23:16.388] patient_2
[01:23:17.232 --> 01:23:17.772] patient_3
[01:23:17.975 --> 01:23:19.612] patient_2
[01:23:21.333 --> 01:23:23.257] patient_2
[01:23:23.257 --> 01:23:23.881] doctor
[01:23:24.809 --> 01:23:25.653] patient_2
[01:23:24.843 --> 01:23:26.328] doctor
[01:23:27.138 --> 01:23:28.522] doctor
[01:23:27.779 --> 01:23:28.235] patient_2
[01:23:28.724 --> 01:23:49.750] doctor
[01:23:29.146 --> 01:23:29.720] patient_1
[01:23:41.296 --> 01:23:41.971] patient_2
[01:23:46.865 --> 01:23:47.573] patient_1
[01:23:50.560 --> 01:23:54.138] doctor
[01:23:51.303 --> 01:23:51.758] patient_3
[01:23:54.880 --> 01:24:12.295] doctor
[01:23:56.180 --> 01:23:56.905] patient_1
[01:24:06.710 --> 01:24:07.300] patient_3
